chunk_id,strategy,text,length,start_index,end_index
0,recursive,"Product: Intel Core i3-12100 12th Gen Budget Desktop PC. Category: Intel PC. Subcategory: Star PC. Price: 28,300৳30,120৳.

Product: Intel 10th Gen Core i5-10400 Desktop PC. Category: Intel PC. Subcategory: Star PC. Price: 32,150৳.
",231,0,231
1,recursive,"
Product: Intel 12th Gen Core i5-12400 Desktop PC. Category: Intel PC. Subcategory: Star PC. Price: 33,248৳35,750৳.

Product: Intel Core i5 14500 14th Gen Desktop PC. Category: Intel PC. Subcategory: Star PC. Price: 48,500৳51,800৳.
",232,231,463
2,recursive,"
Product: Intel 13th Gen Core i5 13400 Budget Desktop PC with Monitor. Category: Intel PC. Subcategory: Star PC. Price: 58,999৳60,600৳.

Product: Acer Veriton S2690G Core i5 12th Gen Tower Brand PC. Category: Acer. Subcategory: Brand PC. Price: 56,500৳.
",254,463,717
3,recursive,"
Product: Acer Veriton MT M4690G Core i3 14th Gen Tower Brand PC. Category: Acer. Subcategory: Brand PC. Price: 51,500৳.

Product: Acer Veriton MT M4690G Core i5 14th Gen Tower Brand PC. Category: Acer. Subcategory: Brand PC. Price: 61,000৳.
",242,717,959
4,recursive,"
Product: ASUS ExpertCenter D5 D500ME Core i3 13th Gen Brand PC. Category: ASUS. Subcategory: Brand PC. Price: 63,000৳.

Product: ASUS ExpertCenter D5 D500ME Core i5 13th Gen Mini Tower Brand PC. Category: ASUS. Subcategory: Brand PC. Price: 67,000৳.
",251,959,1210
5,recursive,"
Product: ASUS ExpertCenter D5 D500ME Core i7 13th Gen Mini Tower Brand PC. Category: ASUS. Subcategory: Brand PC. Price: 101,850৳.

Product: MSI PRO DP180 13th Gen Core i5 512GB SSD Desktop PC With Monitor. Category: MSI. Subcategory: Brand PC. Price: 67,500৳76,500৳.
",269,1210,1479
6,recursive,"
Product: Intel 13th Gen Core i5 13400F Gaming Desktop PC. Category: Intel PC. Subcategory: Gaming PC. Price: 79,999৳84,500৳.

Product: Intel Core Ultra 5 245K Desktop PC. Category: Intel PC. Subcategory: Gaming PC. Price: 94,499৳99,850৳.
",239,1479,1718
7,recursive,"
Product: Intel Core Ultra 5 245K Gaming Desktop PC. Category: Intel PC. Subcategory: Gaming PC. Price: 109,999৳117,599৳.

Product: Intel Core i5 14400 14th Gen Gaming Desktop PC. Category: Intel PC. Subcategory: Gaming PC. Price: 131,999৳135,950৳.
",249,1718,1967
8,recursive,"
Product: Intel Core i7 14700K 14th Gen Gaming Desktop PC. Category: Intel PC. Subcategory: Gaming PC. Price: 145,999৳153,100৳.

Product: Intel Core Ultra 7 265K Gaming Desktop PC. Category: Intel PC. Subcategory: Gaming PC. Price: 167,999৳172,300৳.
",250,1967,2217
9,recursive,"
Product: Intel Core i7 14700KF 14th Gen Gaming Desktop PC. Category: Intel PC. Subcategory: Gaming PC. Price: 235,999৳245,850৳.

Product: Intel Core Ultra 9 285K Gaming Desktop PC. Category: Intel PC. Subcategory: Gaming PC. Price: 415,000৳425,955৳.
",251,2217,2468
10,recursive,"
Product: AMD Ryzen 5 5600G Desktop PC. Category: Star PC. Subcategory: Desktop. Price: 30,750৳.

Product: AMD Ryzen 5 5600G Budget Desktop PC. Category: Star PC. Subcategory: Desktop. Price: 28,999৳31,350৳.
",208,2468,2676
11,recursive,"
Product: AMD Ryzen 7 5700G Custom Desktop PC. Category: Star PC. Subcategory: Desktop. Price: 30,622৳33,650৳.

Product: AMD Ryzen 5 5600G Budget Desktop PC. Category: Star PC. Subcategory: Desktop. Price: 39,700৳.
",215,2676,2891
12,recursive,"
Product: AMD Ryzen 5 8500G Desktop PC. Category: Star PC. Subcategory: Desktop. Price: 44,500৳46,000৳.

Product: AMD Ryzen 5 3400G Processor Desktop PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 21,999৳23,950৳.
",221,2891,3112
13,recursive,"
Product: AMD Ryzen 5 5600G Custom Desktop PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 29,500৳31,700৳.

Product: AMD Ryzen 5 5600GT Budget Desktop PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 28,704৳31,200৳.
",229,3112,3341
14,recursive,"
Product: AMD Ryzen 5 5500 Gaming PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 44,252৳48,100৳.

Product: AMD Ryzen 5 7600 Desktop PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 50,600৳.
",204,3341,3545
15,recursive,"
Product: AMD Ryzen 7 7700 Budget Gaming Desktop PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 52,780৳56,149৳.

Product: AMD Ryzen 7 8700G Budget Desktop PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 60,019৳63,850৳.
",234,3545,3779
16,recursive,"
Product: AMD Ryzen 5 9600X Gaming Desktop PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 63,000৳67,100৳.

Product: AMD Ryzen 5 7500F Gaming PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 77,499৳81,899৳.
",220,3779,3999
17,recursive,"
Product: AMD Ryzen 5 7500F Gaming Desktop PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 86,999৳91,800৳.

Product: AMD Ryzen 5 8400F Gaming Desktop PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 88,999৳94,700৳.
",228,3999,4227
18,recursive,"
Product: AMD Ryzen 5 7500F Budget Gaming PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 90,499৳95,950৳.

Product: AMD Ryzen 7 9700X Gaming Desktop PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 134,499৳141,100৳.
",229,4227,4456
19,recursive,"
Product: AMD Ryzen 7 7700X Gaming Desktop PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 149,999৳155,900৳.

Product: AMD Ryzen 7 9800X3D Gaming Desktop PC. Category: RYZEN PC. Subcategory: Gaming PC. Price: 160,099৳.
",226,4456,4682
